,PC1,PC2,PC3,PC4,PC5,PC6
2015-09-30,1.6429131534599304,-1.4889158549207497,-0.42736385454845793,-0.6819143743559706,-0.8815510564468383,-0.6135770935492675
2015-10-31,2.4815831976754157,-0.7502677880477895,-0.2314136920726865,0.1300423399641502,-0.3893244860562162,-0.18018555833678976
2015-11-30,2.1964510205282712,-0.31412798754350535,-0.7950597336963022,0.3727375597179695,-1.0390692385104998,0.1292846021847828
2015-12-31,2.4646337901147026,-0.9141144488430248,-1.0190188341452675,-0.18340695255636288,-1.0234524626184693,0.9832227864555935
2016-01-31,0.29309746100428713,-1.606852861272838,-1.4713141938633405,-0.031160488563966242,-0.8934249222532651,0.2416286832806616
2016-02-29,0.06255053088981342,-2.2706052542657598,-1.4324208761926533,1.023247529493594,-1.1156345069079254,0.34333173086935953
2016-03-31,0.0766097313550338,-2.447676877056801,-1.2472498827248915,0.43007605378255165,0.030529893230430993,0.43882389230006863
2016-04-30,-1.2381107094484134,-2.152100030462746,-0.9311210952646971,0.496395523982642,-0.418034676926712,0.4547914972192269
2016-05-31,-2.317668449774383,-2.0792697415944077,-0.3695473881779406,-0.3311958735167741,-0.6049037812973245,-0.04811773775968847
2016-06-30,-2.446211621301552,-2.0918469980847205,0.9910262326697056,-1.0545928602429213,-0.5690907967229637,0.19262701845201896
2016-07-31,-1.271730203030617,-2.0640434209805854,0.9361955899049487,0.4235975196089123,-0.02261476592194549,0.5395743940270096
2016-08-31,-0.5259298880531228,-0.9939365127504163,0.832164488842275,-0.0026820211877031106,0.2749373473513902,0.47229540178812185
2016-09-30,-0.40732531600629324,-0.866072173247313,1.0503640802060628,-0.08276674976842387,0.5761916662017365,0.5334287460957391
2016-10-31,-1.0546761209479527,-1.4811343462502697,0.8003173758354184,-0.17067413382271326,-0.5928594775857744,0.13429648336865396
2016-11-30,-1.5485358952250299,-1.230969857802566,1.4673413008186922,-0.6032222957363842,-0.41942214460471927,-0.043729377879428766
2016-12-31,-2.326506191903529,-0.1780654921682681,0.990736810311843,0.15874421498824753,-0.4899665501029049,0.07274933482593295
2017-01-31,-1.227210048402462,1.1741294863198246,1.5546304466382357,-0.33249232631381576,-0.2474155590982542,0.03346273639712255
2017-02-28,-1.143318564270954,1.765441066595166,1.7412016399918617,-0.7571589512351022,-0.0043153120589179,0.027885332587945483
2017-03-31,-1.7142912858451094,1.0865708630907585,1.1870717700040998,-0.09087281999522773,-0.5303892874332796,-0.12562165191157504
2017-04-30,-1.3840682780826226,1.1182429098940463,0.6359899324628625,0.4616373929376525,-0.24625771246566136,-0.18196054227220793
2017-05-31,-1.296691532170859,1.297302739919693,0.10666090577563472,1.71541034991845,-0.1420920068185726,-0.20438325583611608
2017-06-30,-0.7831598975538565,1.539601592973312,-0.752579724287448,1.9098616121120608,-0.015259314292190289,-0.5163685070457025
2017-07-31,-1.2413565013618364,1.5219505320643012,-0.07852103608010301,0.9464670630754214,-0.5367614044838065,-0.6511319950894152
2017-08-31,-1.3017507987846744,1.5820500742230534,-0.10791893951891723,1.2249400634012768,-0.5185156323898793,-0.5611278827840607
2017-09-30,-1.1838728353085064,1.8192191719008755,-0.02524090207351079,1.114969138376851,-0.34709447550989936,-0.5474638233818535
2017-10-31,-1.4667577242943663,2.290168346921716,0.12127893703936127,1.1305870465130188,0.02653625752927973,-0.5927357715093141
2017-11-30,-1.7518158030155266,1.9865228319882509,0.14639451764720043,1.2402845243230092,0.08493557535790047,-0.4690236020764256
2017-12-31,-1.2946613749385616,1.584837589561002,0.34138775515792946,0.8941158881301267,0.21021161679925998,-0.6325900760328049
2018-01-31,-1.068844989375147,1.6890380367046083,0.2806741407467123,0.7297905898511677,0.8042525881490609,-0.6557348691574235
2018-02-28,-1.2714425964824438,0.8421599844574635,-0.0666747298963776,0.13103581897115088,-0.034317199169894126,-0.8487063750755475
2018-03-31,-1.3436442188616748,0.46950126111972534,0.22710628787742537,-0.4008018808046933,-0.37380365322910963,-0.7746997192809557
2018-04-30,-0.9794335462372267,-0.14237269666881397,-0.059746361472043034,-0.8425957499240125,-0.09956189621342781,-0.6887859280799055
2018-05-31,-0.7658299869606217,-0.30460174552078206,0.06413092888971944,-1.1699576207615494,0.10259448708276046,-0.5630844929950721
2018-06-30,-1.4849545187484465,-0.49475123640217167,-0.050293690084256854,-1.1576178779005049,0.15470749321365002,-0.4757722228812352
2018-07-31,-1.3291509709134361,-0.5892734514355651,-0.2995198309392318,-1.0836263511869213,0.5232758416536887,-0.3856451872585357
2018-08-31,-1.7412179015976583,-0.4733782931268338,-0.4515611389084446,-1.219936682340133,0.8920238800983871,-0.36103559335338
2018-09-30,-2.022625693564437,-0.4866815850803575,-0.1485244233809726,-1.54476499085241,0.5634044110337992,-0.5596751069013095
2018-10-31,-1.9024498217206802,-1.856880497994292,-0.49457792532520944,-1.211975700727852,0.047985049492730164,-0.47126685534406754
2018-11-30,-0.8071772658779321,-2.355728224356231,-1.3535824634021654,-0.38834178989002843,0.5458580348911456,-0.2391393406813052
2018-12-31,-0.7421025211463401,-3.3368587391047493,-1.4153758050822478,-0.07629377770530107,-0.26682568646216787,-0.2728296069411646
2019-01-31,-0.5946005487233964,-3.3147165784824204,-1.4800016144981607,0.027761508003299285,0.050241690518827986,-0.19968458348652712
2019-02-28,0.09494446529170812,-2.2817886111159202,-1.271264009116037,0.556703295598811,0.49380508761571584,-0.08403562988110055
2019-03-31,0.32448230888718876,-1.6710946930503474,-1.16915848608683,0.5287586957837567,0.7935613643297342,-0.11359165590940636
2019-04-30,-0.009372645657683682,-0.7924275179177537,-0.9808597238938163,0.8786234830003262,0.8086274974533183,-0.1889856919602834
2019-05-31,-0.496768576217269,-1.7645839310059324,-0.4977623332067637,0.23169407540683967,-0.15875906527730152,-0.21647734355788995
2019-06-30,-0.06231330491338149,-1.2838456639354878,0.12388635663002583,0.6386327108672931,0.5056029657239707,-0.039156163634607645
2019-07-31,-0.0063887594136765365,-1.3384742561790102,-0.024708019031047666,1.119224974670407,0.30512318652389336,-0.06071457955191825
2019-08-31,0.16526153927406698,-2.039241702521269,0.9568610872532959,1.04222587891694,-0.07019216308054395,0.08964739791444004
2019-09-30,0.4259705384287103,-1.898678968881983,0.4792144563666553,1.3478519554864836,0.11735441683537319,0.2546355799380756
2019-10-31,0.5876368454204409,-0.5114816003355149,0.8060843047430086,0.9962993541720833,0.5653845263502721,0.2575160584482546
2019-11-30,-0.0602931143940472,-0.2485102876968382,1.092293061896833,0.3893480415712289,0.48998463372927303,0.049735548866886144
2019-12-31,0.3918271949784198,0.9856629706835248,1.649667024976252,-0.20735533698825678,1.749026985981473,0.1961609377379696
2020-01-31,0.4820146317811504,0.3568235611258739,1.3843151976893726,0.18641879253880816,0.8269578476601762,0.4251590522566413
2020-02-29,-0.19435441913055584,-1.3983279751014759,1.28182694726961,0.1258701975896897,0.0016406014477643102,0.3207095376970044
2020-03-31,-0.745661038065906,-2.924840816799673,1.0159789003870052,-0.020460909310358037,-1.192714226761358,8.938120667462269e-05
2020-04-30,0.1502235643838206,-3.1443586596278674,1.0754013426780555,-0.10435372335441137,0.09859065967143926,0.36756773931798525
2020-05-31,0.23212008533923373,-1.559656767538906,1.1048857659766111,0.61736273785226,0.8675866229680491,0.627224685456898
2020-06-30,0.32135190111812856,-1.1559859761073124,0.9341282720313286,0.6678176846472023,-0.11604845177881248,0.49231566926466325
2020-07-31,0.4686515930666378,-0.3593889147082943,2.0324677598056855,0.6332634949472314,-0.13228800417641243,0.6727550718534132
2020-08-31,0.47180235161710427,0.9761465380517229,1.4732333270863376,0.38964307325730163,0.47206903256915134,0.5088472292257604
2020-09-30,-0.058859738977048534,0.42235728063653893,1.3563251440607016,0.2552772801060113,-0.16196687111022398,0.24597525986365873
2020-10-31,0.020507910990376143,-0.04512640764125606,1.2638449580749982,0.23818288936669518,-0.5848576519710413,0.06585316819533268
2020-11-30,-0.07833465301482263,0.8307184377003294,1.6282102116916826,-0.4022814335941705,-0.17714604381340127,-0.06792189542153071
2020-12-31,-0.5909467605024059,0.6527743878686445,1.9491539683438512,-0.7738264906945947,-0.047502839698329566,-0.1833155050668366
