,M0061675,M0000545,S0059749,M1001654,M0061676,M0000612,M0061677,M0001227,M5206730
2020-11-30,6.72,7.0,3.25,3.2425,0.06,-0.5,-1.46,-1.5,21355.0
2020-12-31,6.96,7.3,3.1429,3.1432,0.09,0.2,-0.69,-0.4,16476.0
2021-01-29,6.96,7.3,3.1786,3.1814,0.09,0.2,-0.69,-0.4,16476.0
2021-01-31,6.96,25.398571,3.1786,3.1814,-0.13,-0.3,0.29,0.3,51884.0
2021-02-26,6.96,25.398571,3.2798,3.2851,-0.13,-0.3,0.29,0.3,51884.0
2021-02-28,30.89,52.339181,3.2798,3.2851,-0.48,-0.2,1.47,1.7,17243.0
2021-03-31,17.33,14.1,3.1887,3.2069,0.19,0.4,3.29,4.4,33762.0
2021-04-30,10.78,9.8,3.164,3.1617,0.96,0.9,6.29,6.8,18570.0
2021-05-31,8.54,8.8,3.045,3.0612,1.58,1.3,8.23,9.0,19522.0
2021-06-30,7.79,8.3,3.0778,3.0775,1.23,1.1,8.5,8.8,37017.0
2021-07-30,7.79,8.3,2.8363,2.848,1.23,1.1,8.5,8.8,37017.0
2021-07-31,7.85,6.4,2.8363,2.848,0.82,1.0,8.8,9.0,10752.0
2021-08-31,5.91,5.3,2.845,2.8523,1.01,0.8,9.05,9.5,29893.0
2021-09-30,3.67,3.1,2.8776,2.868,0.82,0.7,10.14,10.7,29026.0
2021-10-29,3.67,3.1,2.9732,2.9692,0.82,0.7,10.14,10.7,29026.0
2021-10-31,3.13,3.5,2.9732,2.9692,1.29,1.5,11.94,13.5,16176.0
2021-11-30,3.69,3.8,2.825,2.83,2.47,2.3,12.02,12.9,25983.0
2021-12-31,3.68,4.3,2.7754,2.7699,1.72,1.5,10.84,10.3,23580.0
2022-01-28,3.68,4.3,2.7754,2.7151,1.72,1.5,10.84,10.3,23580.0
2022-01-30,3.68,4.3,2.6997,2.7151,1.72,1.5,10.84,10.3,23580.0
2022-01-31,3.68,3.857957,2.6997,2.7151,1.11,0.9,9.28,9.1,61759.0
2022-02-28,3.1,12.795905,2.775,2.7926,0.81,0.9,8.79,8.8,12170.0
2022-03-31,5.09,5.0,2.7878,2.7874,1.25,1.5,8.0,8.3,46565.0
2022-04-29,5.09,5.0,2.8386,2.8349,1.25,1.5,8.0,8.3,46565.0
2022-04-30,1.3,-2.9,2.8386,2.8349,2.01,2.1,7.79,8.0,9327.0
2022-05-31,-0.14,0.7,2.7426,2.7425,2.15,2.1,6.3,6.4,28415.0
2022-06-30,4.46,3.9,2.8205,2.8109,2.39,2.5,6.05,6.1,51926.0
2022-07-29,4.46,3.9,2.756,2.754,2.39,2.5,6.05,6.1,51926.0
2022-07-31,4.6,3.8,2.756,2.754,2.86,2.7,4.72,4.2,7785.0
2022-08-31,3.93,4.2,2.6225,2.6276,2.76,2.5,3.0,2.3,24712.0
2022-09-30,4.83,6.3,2.7601,2.75,3.0,2.8,1.11,0.9,35411.0
2022-10-31,5.04,5.0,2.6433,2.641,2.41,2.1,-1.08,-1.3,9134.0
2022-11-30,3.68,2.2,2.885,2.8802,1.63,1.6,-1.46,-1.3,19837.0
2022-12-30,3.68,2.2,2.885,2.8436,1.63,1.6,-1.46,-1.3,19837.0
2022-12-31,0.43,1.3,2.8353,2.8436,1.84,1.8,-0.27,-0.7,13063.0
2023-01-31,0.43,-9.793162,2.8977,2.9005,2.25,2.1,-0.48,-0.8,59956.0
2023-02-28,2.9,18.774816,2.9017,2.9155,1.76,1.0,-1.3,-1.4,31610.0
2023-03-31,4.31,3.9,2.8528,2.8563,0.98,0.7,-2.32,-2.5,53867.0
2023-04-28,4.31,3.9,2.7788,2.7855,0.98,0.7,-2.32,-2.5,53867.0
2023-04-30,9.66,5.6,2.7788,2.7855,0.38,0.1,-3.29,-3.6,12249.0
2023-05-31,4.1,3.5,2.685,2.6905,0.3,0.2,-4.28,-4.6,15560.0
2023-06-30,2.51,4.4,2.6351,2.6358,0.15,0.0,-4.98,-5.4,42265.0
2023-07-31,4.55,3.7,2.6597,2.6643,-0.5,-0.3,-4.14,-4.4,5366.0
2023-08-31,4.16,4.5,2.5575,2.5541,0.22,0.1,-2.88,-3.0,31279.0
2023-09-28,4.16,4.5,2.6751,2.6675,0.22,0.1,-2.88,-3.0,31279.0
2023-09-30,4.55,4.5,2.6751,2.6675,0.16,0.0,-2.38,-2.5,41326.0
2023-10-31,4.32,4.6,2.6938,2.6929,-0.05,-0.2,-2.61,-2.6,18441.0
2023-11-30,5.69,6.6,2.668,2.6837,-0.11,-0.5,-2.8,-3.0,24554.0
2023-12-29,5.69,6.6,2.668,2.5575,-0.11,-0.5,-2.8,-3.0,24554.0
2023-12-31,6.58,6.8,2.5553,2.5575,-0.28,-0.3,-2.59,-2.7,19326.0
2024-01-31,6.58,26.3,2.433,2.425,-0.64,-0.8,-2.52,-2.5,64734.0
2024-02-29,4.28,-12.7,2.3375,2.3275,0.37,0.7,-2.47,-2.7,14959.0
2024-03-29,4.28,-12.7,2.2901,2.2815,0.37,0.7,-2.47,-2.7,14959.0
2024-03-31,5.32,4.5,2.2901,2.2815,0.33,0.1,-2.69,-2.8,48335.0
2024-04-30,5.43,6.7,2.3028,2.3077,0.2,0.3,-2.33,-2.5,-658.0
2024-05-31,5.96,5.6,2.2926,2.2978,0.38,0.3,-1.52,-1.4,20623.0
2024-06-28,5.96,5.6,2.2058,2.2023,0.38,0.3,-1.52,-1.4,20623.0
2024-06-30,4.95,5.3,2.2058,2.2023,0.4,0.2,-0.81,-0.8,32985.0
2024-07-31,5.04,5.1,2.1494,2.1465,0.32,0.5,-0.8,-0.8,7707.0
2024-08-30,5.04,5.1,2.1704,2.1753,0.32,0.5,-0.8,-0.8,7707.0
2024-08-31,4.74,4.5,2.1704,2.1753,0.71,0.6,-1.4,-1.8,30323.0
2024-09-30,4.57,5.4,2.1518,2.1698,0.71,0.4,-2.52,-2.8,37635.0
2024-10-31,5.61,5.3,2.1476,2.1537,0.42,0.3,-2.49,-2.9,14120.0
2024-11-29,5.61,5.3,2.0206,2.0253,0.42,0.3,-2.49,-2.9,14120.0
2024-11-30,5.21,5.4,2.0206,2.0253,0.48,0.2,-2.67,-2.5,23288.0
2024-12-31,5.5,6.2,1.6752,1.6732,0.1,0.1,-2.32,-2.3,28537.0
2025-01-27,5.5,6.2,1.6299,1.6321,0.1,0.1,-2.32,-2.3,28537.0
2025-01-31,5.5,-11.11,1.6299,1.6321,0.5,0.5,-2.07,-2.3,70546.0
2025-02-28,5.13,31.02,1.7152,1.728,-0.37,-0.7,-2.06,-2.2,22331.0
2025-03-31,5.85,7.7,1.8129,1.8192,-0.12,-0.1,-2.19,-2.5,58961.0
2025-04-30,5.21,6.1,1.6243,1.6279,-0.15,-0.1,-2.83,-2.7,11599.0
2025-05-30,5.21,6.1,1.6712,1.6762,-0.15,-0.1,-2.83,-2.7,11599.0
2025-05-31,5.66,5.8,1.6712,1.6762,-0.17,-0.1,-3.17,-3.3,22899.0
2025-06-30,5.49,6.8,1.6469,1.6534,-0.03,0.1,-3.21,-3.6,42251.0
2025-07-31,5.82,5.7,1.7044,1.7015,-0.14,0.0,-3.39,-3.6,11307.0
2025-08-29,5.82,5.7,1.8379,1.8433,-0.14,0.0,-3.39,-3.6,11307.0
2025-08-31,5.75,5.2,1.8379,1.8433,-0.2,-0.4,-2.88,-2.9,25660.0
2025-09-30,5.23,6.5,1.8605,1.8616,-0.15,-0.3,-2.4,-2.3,35296.0
2025-10-27,5.23,6.5,1.8423,1.8366,-0.15,-0.3,-2.4,-2.3,35296.0
2025-10-31,5.54,6.5,1.8423,1.8366,-0.05,-0.3,-2.31,-2.3,35296.0
